0.000000	0.622454	label1
\	-1.000000	70.282982
0.771301	0.920149	label2
\	-1.000000	70.282982
1.028401	1.326097	label3
\	-1.000000	74.326881
1.989145	2.368030	label4
\	-1.000000	71.355858
2.611599	2.868699	label5
\	-1.000000	71.355858
3.112268	3.761784	label6
\	-1.000000	75.465347
4.275985	4.600743	label7
\	-1.000000	71.355858
4.857844	5.087881	label8
\	-1.000000	71.355858
5.033755	5.520892	label10
\	493.437133	757.134514
5.777993	6.630483	label9
\	-1.000000	117.783569
6.752268	7.239405	label13
\	605.932495	1181.070068
6.819926	8.010706	label11
\	-1.000000	217.556137
6.901115	7.428848	label12
\	217.556137	431.269958
7.902454	9.025576	label16
\	262.537048	645.585388
8.118959	8.782007	label 15
\	711.549316	1181.070068
8.173085	9.025576	label14
\	-1.000000	217.556137
9.742751	11.014721	label18
\	378.403870	919.766541
9.742751	11.014721	label17
\	-1.000000	346.624603
11.312416	11.583048	label20
\	-1.000000	153.995178
11.826617	12.029591	label21
\	-1.000000	206.643250
12.097249	12.340818	label19
\	41.609217	256.796021
12.530260	12.827955	label22
\	53.173946	297.714081
13.910483	15.020074	label23
\	645.585388	1040.322021
14.329963	15.141859	label24
\	1011.606321	1215.134399
14.451747	15.128327	label65
\	-1.000000	262.537048
14.681784	15.168922	label25
\	1407.506836	1537.432495
15.074201	15.994349	label60
\	703.130066	890.955811
15.439554	15.899628	label66
\	-1.000000	195.860214
16.129665	16.833308	label61
\	552.373901	711.549316
16.616803	17.347509	label63
\	44.216133	118.971344
17.347509	17.780520	label62
\	749.723627	978.962646
17.482825	17.834647	label64
\	40.355616	147.204672
18.741264	19.471970	label59
\	44.363017	233.585983
18.741264	19.471970	label57
\	567.448181	745.734192
18.795390	19.471970	label58
\	825.707825	1082.469360
19.214870	20.121487	label55
\	613.768372	816.607788
19.363717	19.837323	label56
\	968.948425	1333.200928
20.351524	20.960446	label53
\	530.097900	637.559570
20.568030	21.204015	label54
\	870.666504	1037.890442
21.393457	22.367732	label49
\	-1.000000	206.643250
21.406989	22.273011	label51
\	522.760986	726.337876
21.447584	22.273011	label50
\	157.505338	352.904602
21.704684	22.164758	label52
\	929.485535	1101.838968
22.475985	23.152565	label48
\	391.384125	694.761230
22.475985	23.233755	label47
\	48.681606	384.874542
23.355539	24.532788	label46
\	53.173946	328.008270
24.465130	25.087584	label44
\	48.681606	262.537048
24.681636	25.087584	label45
\	525.811549	741.562912
25.087584	25.791227	label43
\	53.173946	234.172241
25.195836	25.628847	label42
\	834.862549	1471.498291
25.628847	26.684312	label40
\	686.442139	881.466431
25.845353	26.467807	label41
\	290.715563	472.613464
25.940074	26.603123	label39
\	1093.164673	1226.626099
26.751970	27.279702	label37
\	44.216133	206.643250
27.333829	28.023940	label36
\	575.053284	720.018982
27.469145	27.848030	label38
\	853.336975	968.948425
27.793903	28.984684	label34
\	39.463454	138.805252
28.281041	28.768178	label35
\	567.448181	678.172729
28.930558	30.067212	label26
\	1285.125244	1524.087646
29.092937	29.688327	label27
\	1608.958980	1929.654663
29.201189	30.013085	label31
\	338.512515	486.727692
29.255316	30.175465	label30
\	590.400513	780.747009
29.363569	30.391970	label33
\	43.041119	213.776001
29.498885	30.229591	label28
\	1050.764648	1274.974392
30.013085	30.865576	label29
\	771.915222	919.766541
30.229591	30.554349	label32
\	459.817188	663.651273
31.460966	32.232268	label67
\	780.747009	958.993896
31.663940	32.002230	label68
\	384.874542	493.848419
31.758662	31.948104	label69
\	62.239574	195.860214
32.137546	32.638215	label71
\	53.173946	174.677231
32.137546	32.692342	label70
\	346.624603	737.111145
32.949442	33.517769	label72
\	48.681606	201.235580
33.598959	34.221413	label74
\	48.681606	179.925598
33.598959	34.086097	label73
\	262.537048	451.756256
33.720743	34.383792	label75
\	621.651428	853.336975
33.788401	34.911524	label79
\	669.952576	929.485535
34.275539	35.073903	label76
\	48.681606	262.537048
34.329665	35.073903	label77
\	228.600357	508.218231
34.343197	35.236282	label80
\	1407.506836	1631.773325
34.383792	35.520446	label78
\	537.478821	661.781555
36.048178	37.509591	label81
\	-1.000000	176.633133
36.751821	37.320149	label82
\	661.951721	823.041199
37.699033	39.322825	label83
\	-1.000000	159.508652
38.592119	39.106320	label85
\	1294.355713	1589.686768
38.592119	39.106320	label84
\	853.385498	1107.026367
39.322825	40.486543	label86
\	-1.000000	242.394073
40.270037	40.973680	label87
\	853.385498	1037.117554
42.435093	44.302453	label91
\	-1.000000	217.928894
43.301115	44.573085	label90
\	478.507629	600.680298
44.302453	45.493234	label88
\	1204.633667	1650.712891
44.573085	46.440446	label89
\	575.272339	823.041199
46.278067	48.280743	label93
\	48.646557	126.256645
46.765204	47.631227	label96
\	389.085175	525.935608
48.632565	50.743494	label94
\	644.156860	948.094788
48.632565	49.796282	label92
\	53.585754	217.928894
50.987063	51.528327	label95
\	-1.000000	199.997650
53.043866	55.479554	label99
\	53.585754	159.508652
55.858438	58.348253	label98
\	42.484780	230.081039
58.754201	60.026171	label97
\	653.024963	1307.513428
58.889517	60.675688	label100
\	48.646557	131.707947
